IPv,source_address,dest_address,transport_protocol,packet_size,timestamp
4,10.0.0.136,224.0.0.251,17,136,1570201976.179709
4,10.0.0.141,10.0.0.255,17,92,1570201976.18968
4,10.0.0.141,10.0.0.255,17,92,1570201977.104635
4,10.0.0.141,10.0.0.255,17,92,1570201977.721848
4,172.217.30.78,10.0.0.130,6,105,1570201978.084262
4,172.217.30.78,10.0.0.130,6,85,1570201978.093209
4,10.0.0.130,172.217.30.78,6,54,1570201978.101286
4,172.217.30.78,10.0.0.130,6,93,1570201978.109662
4,10.0.0.130,172.217.30.78,6,93,1570201978.117641
4,10.0.0.130,172.217.30.78,6,538,1570201978.126617
4,172.217.30.78,10.0.0.130,6,54,1570201978.185651
4,172.217.30.78,10.0.0.130,6,54,1570201978.194629
4,10.0.0.130,64.4.54.254,6,66,1570201978.305293
4,10.0.0.130,64.4.54.254,6,66,1570201978.316268
4,172.217.30.78,10.0.0.130,6,260,1570201978.426655
4,172.217.30.78,10.0.0.130,6,105,1570201978.436649
4,10.0.0.130,172.217.30.78,6,54,1570201978.444296
4,64.4.54.254,10.0.0.130,6,66,1570201978.503135
4,10.0.0.130,64.4.54.254,6,54,1570201978.511664
4,10.0.0.130,64.4.54.254,6,255,1570201978.519643
4,64.4.54.254,10.0.0.130,6,66,1570201978.527624
4,10.0.0.130,64.4.54.254,6,54,1570201978.536598
4,10.0.0.130,64.4.54.254,6,255,1570201978.543596
4,64.4.54.254,10.0.0.130,6,1514,1570201978.705844
4,64.4.54.254,10.0.0.130,6,1514,1570201978.730505
4,64.4.54.254,10.0.0.130,6,772,1570201978.740477
4,64.4.54.254,10.0.0.130,6,1514,1570201978.749454
4,64.4.54.254,10.0.0.130,6,1514,1570201978.758429
4,64.4.54.254,10.0.0.130,6,772,1570201978.767407
4,10.0.0.130,64.4.54.254,6,54,1570201978.77596
4,10.0.0.130,64.4.54.254,6,54,1570201978.784155
4,10.0.0.130,64.4.54.254,6,147,1570201978.792133
4,10.0.0.130,64.4.54.254,6,147,1570201978.801109
4,64.4.54.254,10.0.0.130,6,105,1570201978.960183
4,64.4.54.254,10.0.0.130,6,105,1570201978.969159
4,10.0.0.130,64.4.54.254,6,844,1570201978.977137
4,10.0.0.130,64.4.54.254,6,1195,1570201978.985116
4,64.4.54.254,10.0.0.130,6,368,1570201979.195815
4,10.0.0.130,64.4.54.254,6,54,1570201979.206778
4,10.0.0.130,64.4.54.254,6,85,1570201979.215755
4,10.0.0.130,64.4.54.254,6,54,1570201979.223733
4,64.4.54.254,10.0.0.130,6,54,1570201979.232477
4,64.4.54.254,10.0.0.130,6,368,1570201979.240456
4,10.0.0.130,64.4.54.254,6,54,1570201979.248434
